stock_name,old_min_year,old_max_year,original_driver,regime_changes,change,note
ALBASPAC,1959,2006,edge case,1,,
ANCHOSA,1984,2006,edge case,1,,
ARFLOUNDBSAI,1970,2008,edge case,1,,
BIGEYEATL,1950,2005,edge case,3,deprecated,no information
CHTRACCH,1950,2010,edge case,5,,
CMACKPCOAST,1929,2008,edge case,1,,
COD3NO,1953,2007,edge case,4,deprecated,no information
COD4TVn,1965,2009,edge case,4,,
CODBA2224,1969,2007,edge case,1,,
CODBA2532,1964,2007,edge case,3,,
CODGB,1960,2008,edge case,1,,
CODICE,1952,2006,edge case,1,,
CODIS,1968,2006,edge case,2,,
CODNEAR,1943,2006,edge case,1,,
CODNS,1962,2007,edge case,2,deprecated,no information
ESOLEPCOAST,1876,2007,edge case,3,,
GEMFISHSE,1966,2007,edge case,3,,
GHALNEAR,1959,2007,edge case,5,,
GTRIGGM,1981,2004,edge case,2,,
HADGB,1930,2008,edge case,2,,
HADNEAR,1947,2006,edge case,1,,
HERR30,1972,2007,edge case,3,merged,now HERR30.31
HERRNIRS,1960,2006,edge case,5,,
HERRNS,1960,2007,edge case,3,redefined,renamed to HERRNS.IIIa.VIId
HERRNWATLC,1960,2005,edge case,1,,
HERRRIGA,1976,2007,edge case,2,,
HERRSITKA,1978,2007,edge case,0,,
HERRSOG,1951,2007,edge case,3,,
HERRVIa,1957,2006,edge case,1,,
LOBSTERGOM,1981,2007,edge case,3,,
MEG8c9a,1985,2007,edge case,2,,
MENATGM,1964,2004,edge case,3,,
MORWONGSE,1913,2007,edge case,0,split,"now MORWONGESE, MORWONGWSE"
PANCHPERUNC,1963,2004,edge case,4,,
POPERCHPCOAST,1953,2007,edge case,3,,
PSOLESPCOAST,1874,2005,edge case,2,merged,now PSOLEPCOAST
RSNAPSATLC,1945,2006,edge case,3,,
SARDPCOAST,1981,2007,edge case,2,deprecated,no information
SARDSA,1984,2006,edge case,3,split,"now SARDSAS, SARDSAW"
SCUPNWATLC,1960,2007,edge case,2,,
SKJCWPAC,1972,2006,edge case,2,,
SPRAT22.32,1973,2007,edge case,1,,
STMARLINSWPO,1950,2003,edge case,5,deprecated,no information
WHITVIa,1984,2007,edge case,2,,
WPOLLAI,1976,2008,edge case,4,,
WPOLLGA,1964,2008,edge case,0,,
WROCKPCOAST,1955,2006,edge case,2,,
YELLSNEMATL,1935,2008,edge case,1,,
YFINCWPAC,1952,2005,edge case,2,deprecated,no information
YFINEPAC,1975,2007,edge case,2,,
ACADREDGOMGB,1913,2007,environment,4,,
ALBANATL,1929,2005,environment,5,deprecated,no recruitment info in old version
ALPLAICBSAI,1972,2008,environment,3,,
AMPL5YZ,1960,2008,environment,2,excluded,missing data
ANCHOBAYB,1986,2007,environment,1,,
ARFLOUNDPCOAST,1916,2007,environment,0,,
ARGHAKESARG,1985,2008,environment,3,,
ATBTUNAEATL,1969,2007,environment,4,,
ATKABSAI,1976,2009,environment,1,,
ATLCROAKMATLC,1973,2002,environment,0,,
AUSSALMONNZ,1975,2006,environment,0,,
BGROCKPCOAST,1950,2005,environment,1,excluded,current data right off of stock recruit curve
BIGEYEEPAC,1975,2007,environment,3,,
BIGEYEWPO,1952,2006,environment,1,deprecated,no information
BLACKROCKNPCOAST,1914,2006,environment,1,split,"now BLACKROCKCAL, BLACKROCKORECOAST, BLACKROCKWASH"
BLACKROCKSPCOAST,1915,2007,environment,4,split,"now BLACKROCKCAL, BLACKROCKORECOAST, BLACKROCKWASH"
BLUEROCKCAL,1916,2007,environment,5,,
BSBASSMATLC,1968,2007,environment,1,,
BUTTERGOMCHATT,1965,2005,environment,1,,
BWHITNEA,1980,2007,environment,3,,
CABEZNCAL,1916,2005,environment,2,,
CABEZSCAL,1932,2005,environment,0,,
CAPEICE,1977,2007,environment,3,deprecated,no recruitment info in old version
CHAKESA,1917,2008,environment,4,,
CHILISPCOAST,1892,2007,environment,0,,
COD3Ps,1959,2004,environment,2,,
CODFAPL,1959,2006,environment,3,,
CODGOM,1893,2008,environment,1,deprecated,no recruitment info in old version
DEEPFLATHEADSE,1978,2007,environment,1,,
DKROCKPCOAST,1928,2007,environment,4,,
DSOLEGA,1978,2010,environment,2,,
DSOLEPCOAST,1910,2005,environment,5,,
DUSROCKGA,1973,2008,environment,1,,
FLSOLEBSAI,1977,2008,environment,1,,
FLSOLEGA,1978,2010,edge case,2,,
FMEG8c9a,1986,2006,environment,1,,
GAGGM,1963,2004,environment,2,deprecated,no recruitment info in old version
GAGSATLC,1962,2005,environment,3,,
GEMFISHNZ,1952,2007,environment,0,,
GOPHERSPCOAST,1965,2005,environment,2,,
GRAMBERSATLC,1946,2006,environment,0,,
HAD4X5Y,1960,2003,environment,2,,
HAD5Y,1956,2008,environment,3,,
HAD5Zejm,1968,2003,environment,2,deprecated,no information
HADFAPL,1955,2006,environment,5,,
HADICE,1977,2007,environment,2,,
HADNS.IIIa,1963,2006,environment,0,merged,now HADNS.IIIa.Via
HADROCK,1990,2007,environment,0,,
HADVIa,1977,2006,environment,0,merged,now HADNS.IIIa.Via
HADVIIb.k,1993,2006,environment,1,,
HERR31,1979,2006,environment,0,merged,now HERR30.31
HERR4RFA,1971,2003,environment,1,,
HERR4RSP,1963,2004,environment,0,,
HERR4TFA,1974,2007,environment,2,,
HERR4TSP,1974,2007,environment,1,,
HERR4VWX,1964,2006,environment,0,excluded,not enough data
HERRCC,1951,2007,environment,1,,
HERRIsum,1983,2007,environment,1,,
HERRPRD,1951,2007,environment,2,,
HERRPWS,1980,2006,environment,0,,
HERRQCI,1951,2007,environment,4,,
HERRVIaVIIbc,1969,2000,environment,2,,
