stockid,tsn,scientificname,commonname,areaid
ACADRED2J3K,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-2J3K
ACADRED3LNO-UT12,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-3LNO-UT12
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ
ACADREDUT3,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-UT3
ACMACKSARG,172413,Scomber colias,Argentine chub mackerel,Argentina-CFP-ARG-S
AFLONCH,166156,Beryx splendens,Alfonsino,multinational-SPRFMO-CHL
ALBAIO,172419,Thunnus alalunga,Albacore tuna,multinational-IOTC-IO
ALBAMED,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-MED
ALBANATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL
ALBANPAC,172419,Thunnus alalunga,Albacore tuna,multinational-ISC-NPAC
ALBASATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-SATL
ALBASPAC,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC
ALPLAICBSAI,172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI
ALSKABSAI,160939,Bathyraja parmifera,Alaska skate,USA-NMFS-BSAI
AMPL23K,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-23K
AMPL3LNO,172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3LNO
AMPL3M,172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3M
AMPL3Ps,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-3Ps
AMPL4T,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4T
AMPL4VWX,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4VWX
AMPL5YZ,172877,Hippoglossoides platessoides,American plaice,USA-NMFS-5YZ
ANCHIXa,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-IXa
ANCHMEDGSA1,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA1
ANCHMEDGSA16,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA16
ANCHMEDGSA17,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17
ANCHMEDGSA17-18,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17-18
ANCHMEDGSA19,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA19
ANCHMEDGSA20,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA20
ANCHMEDGSA22,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA22
ANCHMEDGSA29,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA29
ANCHMEDGSA6,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA6
ANCHMEDGSA7,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA7
ANCHMEDGSA9,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA9
ANCHOBAYB,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII
ANCHOCWACIV-BEN,161831,Engraulis encrasicolus,Anchovy,multinational-FAO-CWACIV-BEN
ANCHOCWAGAB-AGO,161831,Engraulis encrasicolus,Anchovy,multinational-FAO-CWAGAB-AGO
ANCHONWA,161831,Engraulis encrasicolus,Anchovy,multinational-FAO-NWA
ANCHOSA,161831,Engraulis encrasicolus,Anchovy,South Africa-DETMCM-SA
