stock_name,nshifts_pelt,nshifts_marss,nshifts_bcp
ACADREDGOMGB,2,,
AMPL4T,1,,
ANCHOBAYB,2,,
ANCHOSA,1,,
APOLLNSJ,2,,
ARFLOUNDBSAI,1,,
ARFLOUNDPCOAST,1,,
ATBTUNAEATL,1,1,0
ATLCROAKMATLC,1,,
BGRDRNSWWA,3,2,4
BLUEROCKCAL,1,,
BMACKPJPN,1,,
BOCACCSPCOAST,2,,
BSQLOBSTERCSCH,1,2,1
BWHITNEA,2,,
CAPENOR,1,,
CHERRCHVX,1,,
CHILISPCOAST,2,,
CHSQUIDSA,1,,
CHTRACCH,1,,
CMACKPCOAST,1,,
CMACKPJPN,3,,
COD1F.XIV,4,,
COD1IN,3,,
COD2J3KL,2,,
COD3M,2,,
COD3Pn4RS,1,,
CODBA2224,1,,
CODFAPL,1,1,0
CODGB,1,,
CODIS,1,,
CODKAT,1,,
CODVIIek,2,,
CSALMANDREAR,1,,
CSALMHOODC,1,,
CSALMISCFPM,1,,
CSALMKTRNS,1,,
CSALMNSR,1,,
CSALMSSOUNDSR,2,,
CSALMSSR,1,,
CSARDCSCH,1,,
EBASSIVbc.VII,2,,
GEMFISHNZ,1,,
GHALBSAI,5,,
GHALNEAR,1,NA,0
GOLDREDNEAR,1,,
GRSNAPGM,1,,
GSTRGZRSTA7,1,1,0
GTRIGGM,1,,
HAD5Y,4,,
HADFAPL,4,4,0
HADGB,5,,
HADNEAR,3,,
HADNS.IIIa.VIa,2,,
HADROCK,2,,
HAKESPPSAF,2,,
HERR4RFA,1,,
HERR4RSP,3,,
HERR4TSP,1,,
HERRIsum,1,,
HERRNIRS,1,,
HERRNS.IIIa.VIId,2,,
HERRPRD,2,,
HERRPWS,1,,
HERRRIGA,1,,
HERRSOG,1,,
HERRVIa,2,,
HERRVIaVIIbc,1,,
HERRWCVANI,1,,
HOKIWNZ,1,,
JANCHOPJPN,1,,
JMACKTSST,1,,
JPUFFIMKB,1,,
KMFLOUNBSAI,1,,
MACK5YCHATT,1,,
MACKNWATLSA3.4,1,,
MEG8c9a,1,,
NROCKGA,1,,
NRSOLEEBSAI,2,,
NSHRIMPCSCH,2,,
NSHRIMPNCH,1,,
NZSNAPNZ7,3,,
PANCHPERUNC,2,,
PATGRENADIERCH,1,,
PERCHEBSAI,1,,
PERCHQCI,3,,
PHAKEPCOAST,4,,
PILCHPJPN,3,,
PLAIC7d,1,,
PLAICVIIh.k,1,,
POLLNS.VI.IIIa,1,,
POPERCHGA,1,,
PSALMAKPSESCD,2,,
PSALMAMURPW,2,,
PSALMANADYRPW,1,,
PSALMCHIGNIKCD,1,,
PSALMCHIGNIKED,3,,
PSALMESAKPW,3,,
PSALMHUMPYCCISD,2,,
PSALMJCPH,2,,
PSALMJCPW,3,,
PSALMMONTD,2,,
PSALMOKPW,3,,
PSALMPDICK,3,,
PSALMPERRYVILLED,3,,
PSALMPRIMPW,1,,
PSALMPWSED,1,,
PSALMPWSSED,2,,
PSALMROCKYROD,3,,
PSALMSELDOVIAB,1,,
PSALMTUTKASD,3,,
PSALMWINDYC,2,,
PTOOTHFISHPEI,1,,
RGROUPSATL,1,,
RKCRABBB,1,,
RSQLOBSTERCSCH,3,,
RSROCKBCWN,1,,
RSROCKBCWS,2,,
SABLEFEBSAIGA,1,,
SABLEFPCOAST,2,,
SARDMEDGSA17.18,1,,
SARDPVIIIc.IXa,1,,
SARDSAW,2,,
SARDWSE,1,,
SBELLYROCKPCOAST,1,,
SBT,1,,
SBWHITACIR,1,,
SBWHITARGS,3,,
SBWHITCH,1,,
SCUPNWATLC,1,,
SEELNSSA2,1,,
SEELNSSA3,1,,
SEELNSSA4,2,,
SMOOTHOREOCR,1,,
SNAPSAUSSSG,1,,
SNOWCRABBS,2,,
SNROCKPCOAST,1,,
SOLEIS,1,,
SOLENS,1,,
SPANMACKSETO,2,,
SPRAT22.32,1,,
SSALMBIRKENH,2,,
SSALMBLACKL,2,,
SSALMBOWRON,1,,
SSALMBRANCH,1,,
SSALMCHIGNIKL,2,,
SSALMCHILKO,1,,
SSALMCULTUS,1,,
SSALMEALSEKDR,1,,
SSALMEUPPERS,1,,
SSALMIGUSHIK,1,,
SSALMLWASH,1,,
SSALMNAHANTLATCH,1,,
SSALMOWIKENOL,2,,
SSALMPITT,1,,
SSALMRAFT,2,,
SSALMSEYMOUR,2,,
SSALMSKEENA,1,,
SSALMTOGIAK,1,,
SSALMUGASHIK,2,,
SSALMWEAVER,3,,
SSALMWOOD,1,,
STFLOUNSPCOAST,2,,
TANNERCRABBSAI,2,,
TURBLKGSA29,2,,
WANGLVIIIc.IXa,1,,
WAREHOUESE,1,,
WINFLOUN5Z,1,,
WPOLLAI,1,,
WPOLLGA,2,,
YELLGB,1,,
YELLSNEMATL,2,,
