stock_name,curve_shape
ACADREDGOMGB,monotonic
AMPL4T,monotonic
ANCHMEDGSA29,monotonic
ANCHOBAYB,monotonic
ANCHOSA,monotonic
APOLLNSJ,monotonic
BMACKECS,monotonic
BOCACCSPCOAST,monotonic
BRNSHRIMPGM,monotonic
BSBASSSATL,monotonic
BUTTERGOMCHATT,monotonic
CAPENOR,monotonic
CHSQUIDSA,monotonic
CHTRACCH,monotonic
CMACKPCOAST,monotonic
CMACKPJPN,monotonic
CMACKTSST,monotonic
COD2J3KL,monotonic
COD3M,monotonic
COD3Pn4RS,monotonic
CODBA2532,monotonic
CODGB,monotonic
CODVIIek,monotonic
CSALMISCFPM,monotonic
CSALMNSR,monotonic
CSALMSSR,monotonic
DOYSFS,monotonic
ESOLEPCOAST,monotonic
FMEG8c9a,monotonic
GTRIGGM,monotonic
HADNEAR,monotonic
HAKESPPSAF,monotonic
HERR30.31,monotonic
HERR4TSP,monotonic
HERRNIRS,monotonic
HERRNS.IIIa.VIId,monotonic
HERRNWATLC,monotonic
HERRRIGA,monotonic
HERRSIRS,monotonic
HERRSITKA,monotonic
HERRSOG,monotonic
HERRVIa,monotonic
HERRVIaVIIbc,monotonic
JANCHOPJPN,monotonic
JANCHOTSST,monotonic
JMACKTSST,monotonic
LOBSTERGOM,monotonic
MACK5YCHATT,monotonic
MACKNEICES,monotonic
MACKNWATLSA3.4,monotonic
MEG8c9a,monotonic
NSHRIMPCSCH,monotonic
NZSNAPNZ1ENLD,monotonic
NZSNAPNZ7,monotonic
PANCHCCH,monotonic
PANCHPERUNC,monotonic
PATGRENADIERCH,monotonic
PAUAPAU5B,monotonic
PAUAPAU7,monotonic
PILCHPJPN,monotonic
PINKSHRIMPGM,monotonic
PLAIC7d,monotonic
PLAICVIIh.k,monotonic
POPERCHGA,monotonic
PSALMAKPSESCD,monotonic
PSALMAMURPW,monotonic
PSALMANADYRPW,monotonic
PSALMCHIGNIKCD,monotonic
PSALMCHIGNIKED,monotonic
PSALMEKAMPW,monotonic
PSALMESAKPW,monotonic
PSALMHUMPYCCISD,monotonic
PSALMJCPH,monotonic
PSALMJCPW,monotonic
PSALMMONTD,monotonic
PSALMOKPW,monotonic
PSALMPDICK,monotonic
PSALMPERRYVILLED,monotonic
PSALMPGRAHAMSD,monotonic
PSALMPRIMPW,monotonic
PSALMPWSSED,monotonic
PSALMROCKYROD,monotonic
PSALMSELDOVIAB,monotonic
PSALMWINDYC,monotonic
PSOLEPCOAST,monotonic
PTOOTHFISHCH,monotonic
RHERRTSST,monotonic
RSOLE5AB,monotonic
RSOLEHSTR,monotonic
SABLEFPCOAST,monotonic
SARDMEDGSA17.18,monotonic
SARDPVIIIc.IXa,monotonic
SBT,monotonic
SBWHITCH,monotonic
SCUPNWATLC,monotonic
SEELNSSA2,monotonic
SMOOTHOREOCR,monotonic
SOLEIS,monotonic
SOLEVIIIab,monotonic
SOUTHHAKECR,monotonic
SPANMACKSETO,monotonic
SPRAT22.32,monotonic
SPRATIIIa.IV,monotonic
SSALMBLACKL,monotonic
SSALMBOWRON,monotonic
SSALMBRANCH,monotonic
SSALMCHILKO,monotonic
SSALMCULTUS,monotonic
SSALMEUPPERS,monotonic
SSALMOWIKENOL,monotonic
SSALMPITT,monotonic
SSALMRAFT,monotonic
SSALMSEYMOUR,monotonic
SSALMSKEENA,monotonic
SSALMSTELLAKO,monotonic
SSALMTOGIAK,monotonic
SSALMUGASHIK,monotonic
SSALMWEAVER,monotonic
SSALMWOOD,monotonic
STRIPEDBASSGOMCHATT,monotonic
TIGERFLATSE,monotonic
TURBLKGSA29,monotonic
WAREHOUESE,monotonic
WMARLINATL,monotonic
WPOLLAI,monotonic
YELLSNEMATL,monotonic
YFINEPAC,monotonic
