"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc"
"1","ACADREDGOMGB",542.134500409483,2.60204097216443e-06,20.7197623178671,646.681758049378,6.48752480946026e-06,20.2335967589479
"2","ACMACKSARG",4164.05982618804,6.21786914650552e-06,-84.6269037839545,8588.85265112007,2.86051825915719e-05,-85.7636254044393
"3","ALBANPAC",5.93291171736464,1.07439347176376e-05,-67.9278176073826,137134.199624952,0.690109858496322,-67.3629926564574
"4","ALBASPAC",177.680013004059,3.3126142693963e-06,-87.5886055367059,552.451095365461,2.49047397690599e-05,-87.5380636809166
"5","ALPLAICBSAI",18721704.3971932,3.99384384803435e-06,-92.0585985050083,192835233.664473,0.000109876345543329,-95.7564237232776
"6","ALSKABSAI",524.808426547116,6.59283605599346e-06,-94.8939835840241,5959053.81578195,0.220106575691007,-92.2203528528489
"7","AMPL3LNO",2058.674173298,3.31456187350235e-06,-57.6041232897678,2151.29229435193,4.90086624272403e-06,-57.7682011185754
"8","AMPL4T",6562.62927544052,2.41736324245091e-06,-38.6705699365161,7491.81373738863,4.74795920953929e-06,-38.9728116522541
"9","ANCHMEDGSA29",987187.6936139,1.6482544497083e-06,-45.4788172670636,2040125.35999277,8.37071659587906e-06,-51.1860740968789
"10","ANCHOBAYB",1.24803632431799,7.92615570250901e-06,-17.7073830215357,1.48033276644772,1.65915329299798e-05,-17.6880790864551
"11","ANCHOSA",409656.521838747,2.25338186163464e-07,-30.2971210458913,561240.323754387,6.20025122887539e-07,-31.4014146466956
"12","APOLLNSJ",1351.47130473626,-2.53440041645672e-06,-17.7756596391024,1455.72076244928,-1.68736146521131e-06,-17.5975544512908
"13","ARFLOUNDBSAI",1990.49053319281,1.87833100020668e-06,-34.1458945327077,2584.66676533226,4.61595455749121e-06,-34.2746901482285
"14","ARFLOUNDGA",3473.75856040214,1.42576861298106e-06,-117.31297503288,12090.6759073849,1.3340447023282e-05,-110.757509274945
"15","ARFLOUNDPCOAST",4327.51922893075,2.96791057988788e-05,-26.6901821502783,112721071.102297,2.34332416787445,-24.8673445851439
"16","ARGANCHONARG",328290.455296674,5.68394067227436e-07,-28.9461409000572,9777405.20391625,5.37097070420889e-05,-29.9807743556028
"17","ARGANCHOSARG",472845.612745413,1.25509867969829e-06,-39.2691364863124,2264730553.28298,0.0176429236864204,-38.8499794807282
"18","ARGHAKENARG",4737.922097669,2.65291272332939e-06,-80.8112995711657,5629.63233220233,5.73017997233015e-06,-81.488379948121
"19","ARGHAKESARG",11225.9361430534,1.68635698870706e-06,-64.3486928303019,21163.9415646966,6.85229525113687e-06,-64.4928371389266
"20","ATBTUNAEATL",48.0120351611445,6.80038951033308e-06,-59.3412888140599,4534874.24216526,2.08818005721318,-54.7458033769013
"21","ATBTUNAWATL",15.1081230540626,4.61033747275264e-05,-103.67612163492,38.5724837583525,0.000302568275531698,-107.694016048556
"22","ATHAL3NOPs4VWX5Zc",1841.89584027031,0.00056167949897637,-17.3207895755657,508745479.469103,743.696919833601,-64.6542558991977
"23","ATKABSAI",12.40373793883,7.95491232210274e-06,-50.5171195437926,1559156.16681551,3.10834593977841,-47.9237311181908
"24","ATLCROAKMATLC",7958.25962017299,1.60695675258932e-05,-7.71571108284117,18497.7947646087,9.68980988634599e-05,-8.73596188699015
"25","AUROCKPCOAST",2438.63232665571,0.000904730452920665,-53.8052041295876,26663848.1008059,31.8952523334286,-52.5148327699454
"26","AWOLF5YZ",0.147177038543903,5.66868914613296e-05,-47.6388096155191,0.148485300555348,6.67226709836235e-05,-47.657008448634
"27","BGRDRNSWWA",3466796907.46401,5.72374803436497e-05,22.4953188137477,16588740725273.6,1.5823137375203,25.8090825039248
"28","BIGEYECWPAC",33.6150889033528,7.94988808767863e-07,-112.080590218802,1460938.75894429,0.0985349526890083,-112.569221893133
"29","BIGEYEEPAC",0.186034701424627,1.04923481078261e-05,-110.743996313451,42.1144966740405,0.00757331658006555,-97.827386696018
"30","BIGEYEIO",0.22792229525446,8.29107386506495e-07,-110.316405144745,2226981175.67044,22955.8327970096,-113.318880396705
"31","BIGHTREDSE",3443638342.93442,0.000249937107026495,-135.299463069092,1108602554031.45,0.229889553984664,-134.847722274612
"32","BLACKROCKCAL",14565.3552654792,0.00306641726032985,-70.0679247619783,31798.3135807147,0.0160857694422367,-73.3191445119607
"33","BLACKROCKWASH",9209.86215209189,0.00183972594901474,-113.005210563566,5431525.90575628,3.00178226900528,-112.624444073645
"34","BLUEFISHATLC",540.372344953256,7.42259168186325e-06,-78.48442533037,909.00413604444,2.61952212159894e-05,-78.9820788090542
