stockid,tsn,scientificname,commonname,areaid,country,areatype,areacode,areaname,alternateareaname
ACADRED2J3K,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-2J3K,Canada,DFO,2J3K,NAFO Division 2J3K,NA
ACADRED3LNO-UT12,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-3LNO-UT12,Canada,DFO,3LNO-UT12,NAFO Division 3LNO and Units 1 and 2,NA
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,USA,NMFS,5YZ,Gulf of Maine / Georges Bank,NA
ACADREDUT3,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-UT3,Canada,DFO,UT3,Unit 3,NA
ACMACKSARG,172413,Scomber colias,Argentine chub mackerel,Argentina-CFP-ARG-S,Argentina,CFP,ARG-S,Southern Argentina,NA
AFLONCH,166156,Beryx splendens,Alfonsino,multinational-SPRFMO-CHL,multinational,SPRFMO,CHL,Chile,NA
ALBAIO,172419,Thunnus alalunga,Albacore tuna,multinational-IOTC-IO,multinational,IOTC,IO,Indian Ocean,NA
ALBAMED,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-MED,multinational,ICCAT,MED,Mediterranean Sea,NA
ALBANATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,multinational,ICCAT,NATL,Northern Atlantic,NA
ALBANPAC,172419,Thunnus alalunga,Albacore tuna,multinational-ISC-NPAC,Multinational,ISC,NPAC,North Pacific Ocean,NA
ALBASATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-SATL,multinational,ICCAT,SATL,South Atlantic,NA
ALBASPAC,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,multinational,WCPFC,SPAC,South Pacific Ocean,NA
ALPLAICBSAI,172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
ALSKABSAI,160939,Bathyraja parmifera,Alaska skate,USA-NMFS-BSAI,USA,NMFS,BSAI,Bering Sea and Aleutian Islands,NA
AMPL23K,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-23K,Canada,DFO,23K,Labrador - NE Newfoundland,NA
AMPL3LNO,172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3LNO,multinational,NAFO,3LNO,Grand Banks,NA
AMPL3M,172877,Hippoglossoides platessoides,American plaice,multinational-NAFO-3M,multinational,NAFO,3M,Flemish Cap,NA
AMPL3Ps,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-3Ps,Canada,DFO,3Ps,St. Pierre Bank,NA
AMPL4T,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4T,Canada,DFO,4T,Southern Gulf of St. Lawrence,NA
AMPL4VWX,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4VWX,Canada,DFO,4VWX,Scotian Shelf and Bay of Fundy,NA
AMPL5YZ,172877,Hippoglossoides platessoides,American plaice,USA-NMFS-5YZ,USA,NMFS,5YZ,Gulf of Maine / Georges Bank,NA
ANCHIXa,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-IXa,multinational,ICES,IXa,Portugese Waters -East,NA
ANCHMEDGSA1,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA1,multinational,GFCM,GSA1,Northern Alboran Sea,NA
ANCHMEDGSA16,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA16,multinational,GFCM,GSA16,South of Sicily,NA
ANCHMEDGSA17,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17,multinational,GFCM,GSA17,Northern Adriatic Sea,NA
ANCHMEDGSA17-18,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17-18,multinational,GFCM,GSA17-18,"Adriatic Sea (GSA 17,18)",NA
ANCHMEDGSA19,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA19,multinational,GFCM,GSA19,Western Ionian Sea,NA
ANCHMEDGSA20,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA20,multinational,GFCM,GSA20,Eastern Ionian Sea,NA
ANCHMEDGSA22,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA22,multinational,GFCM,GSA22,Aegean Sea,NA
ANCHMEDGSA29,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA29,multinational,GFCM,GSA29,Black Sea,NA
ANCHMEDGSA6,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA6,multinational,GFCM,GSA6,Northern Spain,NA
ANCHMEDGSA7,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA7,multinational,GFCM,GSA7,Gulf of Lions,NA
ANCHMEDGSA9,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA9,multinational,GFCM,GSA9,Ligurian and North Tyrrhenian Sea,NA
ANCHOBAYB,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII,multinational,ICES,VIII,Bay of Biscay,NA
ANCHOCWACIV-BEN,161831,Engraulis encrasicolus,Anchovy,multinational-FAO-CWACIV-BEN,multinational,FAO,CWACIV-BEN,Central West Africa Cote Divoire-Benin,NA
